"Greenhouse gas emissions by economic sector, Canada, 1990 to 2022",,,,,,,
,,,,,,,
Year,Oil and gas (megatonnes of carbon dioxide equivalent),Transport (megatonnes of carbon dioxide equivalent),Buildings (megatonnes of carbon dioxide equivalent),Electricity (megatonnes of carbon dioxide equivalent),Heavy industry (megatonnes of carbon dioxide equivalent),Agriculture (megatonnes of carbon dioxide equivalent),Waste and others (megatonnes of carbon dioxide equivalent)
1990,118.2,117.9,72.4,94.4,96.8,50.7,57.5
1991,119.7,113.2,71.7,95.7,96.6,50.8,55.4
1992,129.4,115.3,73.6,102.1,94.1,53,54
1993,138.3,118.3,77.2,92.9,93.5,54.3,52.2
1994,144.4,124.3,77.5,94.9,98.9,55.9,53
1995,152.1,126.4,78.3,98,99.7,58.5,55
1996,160.2,129.1,84.5,97.9,102.6,60.1,54.8
1997,162,133.4,82,109.1,102.5,60.9,55.6
1998,166.5,136.4,73.6,121.7,98.9,60.9,54.1
1999,173.7,140.5,77.5,118.8,96.6,61.2,54.6
2000,179,141.6,84.1,128.4,96.2,62.2,56.3
2001,180.6,141.7,80.7,128.7,90.9,61.9,54.5
2002,184.8,143.9,85,123.1,91.3,61.8,54.8
2003,188.8,148.9,90.3,126.9,90,63.6,54.6
2004,192.2,153.6,88.8,118.7,93,64.6,55.7
2005,195.4,156.2,84.9,116.6,88,65.6,54.8
2006,202.3,157.1,79.8,111.9,88.1,64.3,53.5
2007,206.7,162,85.7,118.5,86.3,64.1,53.1
2008,202.9,162.6,85.6,108.7,84.6,63.6,51.6
2009,198.1,161.5,84,93.7,71.5,60.6,46.9
2010,203.7,165,81.6,94.5,74.7,60.6,48.5
2011,210.5,163.9,86.1,85.7,80.9,61.5,49.8
2012,219,164.1,84.5,82.3,80.8,63.4,49.7
2013,223.5,166.6,85.6,79.6,79.8,65.2,50.6
2014,229.8,164.2,86.1,75.1,81.9,64.3,48.3
2015,229.1,162.2,85.2,74.7,79.5,65.7,49.4
2016,214.1,162,86,75,76.6,66.7,50.7
2017,220.7,165,88.2,72.3,77.4,67.3,51.1
2018,228.5,169,92.2,62.5,79.8,69,51.7
2019,226.1,169.8,94.2,61.4,79.3,69.3,51.9
2020,209.2,142.9,88.6,53.2,74.3,70.1,48.1
2021,215.8,150.1,85.3,51.3,77.7,69.2,49.2
2022,216.7,156.3,88.8,47.3,77.9,70.2,50.5
,,,,,,,
"Note: Data are presented as rounded figures. ""Others"" in the Waste and others sector consists of emissions from light manufacturing, construction, forest resources and coal production. The Heavy industry sector consists of emissions from mining, smelting and refining, pulp and paper, iron and steel, cement, lime and gypsum, and chemicals and fertilizers.",,,,,,,
Source: Environment and Climate Change Canada (2024) National Inventory Report 1990-2022: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,,
